aloh5   53.3411 1
aloh4w -17.55   1
d1     67.5914  2
d3     54.8697  2
d2     39.2955  2
al2oh6 137.906  2
o2h3ts 4.603    1
d2ohts  0.7247  2
d2ohts2 -4.7683 2
w2     -4.84185 1
w6     -45.92   1
Na5w   -93.99   1
Naw    -24.87   1
aloh5na -10.66  1
d3na    -36.53  2
d1na    -25.17  2
aloh3wOHTS 14.957 1
aloh6  206.66
NaOH3A -41.36 1
NaOH10A -128.36 1
aloh3w3 162.92
aloh6na -101.98 1
gibSE_h2oup 16.029
gibSE_bothup 135.01
aloh3+w  70.98 #aloh3
aloh3wfr4 -21.5088 #aloh4
aloh3   91.8311
gib001  -92.7814
gibbulkOH2 28.7034
gib825 24.6990079916871
gib85  2.20880933
gib100 6.1508
gib105 17.69662
gib110 224.6836382
aloh3w2 -14.64   1
aloh3wnaoh -9.79 1
aloh3naoh 63.36  1
2m1 49.8797      2
2m1na  -36.115   2
d12naw -10.8767  2
d2b      49.04   2
dtrib    66.578  2
al3o3oh6 217.33  3
al3oh122 152.32  3
al4o3oh9 227.86  4
al6oh18  262.48  6
al6oh182 321.90  6
OHw      -27.4  1
OH4w     -86.90  1
2u22     -204.8128
3p33     -224.396769
NSA5     98.49  10
NSA4     155.9  10
NSA128  131.11  10
NSA200  146.29  10
NSA300  171.7   10
NSA1    115.5   10
NSAb200 160.5   10
NSAb100 137.5   10
NSAb500 170.5   10
